model,R2,MAPE,bp_error,MAE,RMSE,Spearman,n,팀목표,판정
stage1_deeponet,0.9211,0.0052,49.9,0.00499,0.00774,0.9764,9392,"(0.92, 0.99)",OK
stage1_xgb,0.8956,0.0066,62.9,0.00629,0.01063,0.9671,9392,"(0.83, 0.9)",OK
stage2_margin_mlp,-0.4672,7.3218,324.2,0.03242,0.04112,0.5295,9392,"(0.49, 0.49)",FAIL
stage2_resid,0.2438,4.3176,243.5,0.02435,0.03204,0.6182,9392,"(0.49, 0.49)",FAIL
final_deeponet_hybrid,-0.0148,0.0328,297.9,0.02979,0.03802,0.6835,9392,"(0.72, 0.74)",FAIL
final_xgb_hybrid,0.3382,0.0273,250.9,0.02509,0.03322,0.7132,9392,-,-
bench_ridge,-0.8158,0.0442,407.0,0.0407,0.0489,0.5941,9392,"(0.56, 0.56)",FAIL
bench_gbm,-0.0306,0.0369,337.5,0.03375,0.03993,0.716,9392,"(0.26, 0.33)",FAIL
deeponet_direct,-0.6259,0.043,399.9,0.03999,0.05101,0.508,9392,"(None, 0.0)",OK
