which,segment,seg_mid,n,mean_true,mean_pred,mean_err(true-pred),MAPE,bias_bp
stage1_MC,"(0.638, 0.958]",0.798,1879,0.9289887037655001,0.9280164851794667,0.0009722185860334598,0.007473118432992315,-9.722185860334598
stage1_MC,"(0.958, 0.985]",0.9715,1878,0.9725286996291623,0.9695530209424523,0.0029756786867099465,0.005835204927116867,-29.756786867099464
stage1_MC,"(0.985, 0.997]",0.991,1878,0.9911775032739183,0.9881448266795649,0.0030326765943533705,0.005261212310839523,-30.326765943533704
stage1_MC,"(0.997, 1.008]",1.0025,1878,1.001866699021514,1.000486983246189,0.0013797157753251883,0.004259203598075583,-13.797157753251883
stage1_MC,"(1.008, 1.049]",1.0285,1879,1.0166596664874097,1.0179260481920187,-0.0012663817046091506,0.0029268391406735593,12.663817046091506
final_fair,"(0.718, 0.877]",0.7975,1879,0.8450164708285595,0.8732786030622262,-0.028262132233666665,0.047109989082410354,282.62132233666665
final_fair,"(0.877, 0.91]",0.8935,1878,0.8953729164049655,0.9158398561757216,-0.02046693977075611,0.03804493602817193,204.6693977075611
final_fair,"(0.91, 0.941]",0.9255,1878,0.9255038832036866,0.9304743269734721,-0.004970443769785335,0.02835081386445711,49.70443769785335
final_fair,"(0.941, 0.97]",0.9555,1878,0.9563838162014707,0.9532956788080404,0.003088137393430383,0.02741422201367668,-30.881373934303827
final_fair,"(0.97, 1.045]",1.0074999999999998,1879,0.9892339790848789,0.9770106336352905,0.012223345449588292,0.022965971799944123,-122.23345449588292
