r2,mae,rmse,mape,bp_error,bias_bp,spearman,n,loss_type,fold,train_seconds
0.9303079684524201,0.004159451935537732,0.006185373187642934,0.004221701208395062,41.59451935537732,-26.926856807399716,0.9682306138787238,2348,mse,1,212.3
0.43023057755405814,0.019426653852799333,0.023782733010394057,0.020092526738191823,194.26653852799333,-193.29944537842533,0.9457798633606451,2348,mse,2,111.1
0.8245065122135249,0.010439894084696505,0.013280593636726437,0.010573756421039995,104.39894084696505,95.7514718823983,0.9725330646511434,2348,mse,3,128.5
0.9486946271966886,0.006712226314192725,0.010367224660948549,0.007137139037877753,67.12226314192725,-31.44453098701834,0.9756537055798262,2348,mse,4,129.4
0.9456178492379941,0.003899060750373532,0.005463897390800048,0.0039435824359956,38.99060750373532,-34.15160941794587,0.9768023299342603,2348,mae,1,199.2
0.9127000765991793,0.006222731193226063,0.009309344939299814,0.006417927829536747,62.22731193226063,-31.036555975736874,0.9683602812682223,2348,mae,2,194.8
0.9550067726479696,0.004267625616789947,0.00672450868209024,0.004401681818608051,42.67625616789947,30.65338812189144,0.9900657613477253,2348,mae,3,172.6
0.9766200725122652,0.0033213520822631807,0.006998462921635007,0.0036302484427273847,33.21352082263181,-7.779467865768573,0.9907056042869198,2348,mae,4,120.6
0.9786583579287669,0.0023283457913353253,0.0034228531029553947,0.002356390206103656,23.283457913353253,-15.066620002626015,0.9874894878191962,2348,mape,1,62.4
0.7620990173603389,0.009532991288904993,0.015367750787564227,0.009841625591056311,95.32991288904994,83.826916277195,0.9144102493666018,2348,mape,2,76.6
0.9165006162842948,0.004628646557563016,0.009160699151953203,0.004830290188660803,46.28646557563016,37.38253648827365,0.9913363474903177,2348,mape,3,100.2
0.9785631378712222,0.003466543756409079,0.00670134062598843,0.0037405531863614664,34.66543756409079,-11.678809057884084,0.9928182223351267,2348,mape,4,97.3
